2023-10-01 12:04:02, user_id=1004, action=login
2023-10-01 12:04:18, user_id=1004, action=logout
2023-10-01 12:06:14, user_id=1005, action=view_page
2023-10-01 12:10:51, user_id=1004, action=login
2023-10-01 12:15:46, user_id=1001, action=login
2023-10-01 12:19:41, user_id=1002, action=logout
2023-10-01 12:20:16, user_id=1001, action=view_page
2023-10-01 12:21:04, user_id=1003, action=logout
2023-10-01 12:25:39, user_id=1003, action=view_page
2023-10-01 12:27:31, user_id=1001, action=logout
2023-10-01 12:28:15, user_id=1003, action=view_page
2023-10-01 12:29:37, user_id=1001, action=login
2023-10-01 12:31:49, user_id=1002, action=view_page
2023-10-01 12:34:46, user_id=1003, action=view_page
2023-10-01 12:37:03, user_id=1004, action=view_page
2023-10-01 12:39:13, user_id=1003, action=logout
2023-10-01 12:43:29, user_id=1003, action=logout
2023-10-01 12:47:43, user_id=1005, action=view_page
2023-10-01 12:52:10, user_id=1005, action=view_page
2023-10-01 12:55:41, user_id=1001, action=view_page
2023-10-01 12:59:07, user_id=1001, action=view_page
2023-10-01 13:02:36, user_id=1001, action=view_page
2023-10-01 13:06:07, user_id=1001, action=view_page
2023-10-01 13:09:14, user_id=1005, action=logout
2023-10-01 13:12:24, user_id=1005, action=login
2023-10-01 13:14:44, user_id=1002, action=logout
2023-10-01 13:16:31, user_id=1004, action=logout
2023-10-01 13:18:12, user_id=1001, action=logout
2023-10-01 13:23:03, user_id=1004, action=login
2023-10-01 13:24:27, user_id=1004, action=view_page
2023-10-01 13:29:13, user_id=1002, action=login
2023-10-01 13:29:32, user_id=1002, action=view_page
2023-10-01 13:35:55, user_id=1003, action=login
2023-10-01 13:38:03, user_id=1003, action=view_page
2023-10-01 13:38:30, user_id=1003, action=logout
2023-10-01 13:39:43, user_id=1002, action=logout
2023-10-01 13:41:46, user_id=1003, action=login
2023-10-01 13:46:45, user_id=1003, action=view_page
2023-10-01 13:51:53, user_id=1003, action=logout
2023-10-01 13:54:45, user_id=1002, action=login
2023-10-01 13:58:44, user_id=1004, action=view_page
2023-10-01 14:00:32, user_id=1002, action=login
2023-10-01 14:01:23, user_id=1003, action=logout
2023-10-01 14:04:44, user_id=1002, action=view_page
2023-10-01 14:07:59, user_id=1003, action=logout
2023-10-01 14:08:43, user_id=1003, action=logout
2023-10-01 14:11:08, user_id=1003, action=logout
2023-10-01 14:14:49, user_id=1003, action=view_page
2023-10-01 14:21:01, user_id=1003, action=view_page
2023-10-01 14:24:23, user_id=1003, action=logout
2023-10-01 14:28:54, user_id=1005, action=view_page
2023-10-01 14:33:18, user_id=1001, action=login
2023-10-01 14:37:06, user_id=1001, action=logout
2023-10-01 14:41:16, user_id=1004, action=logout
2023-10-01 14:41:41, user_id=1003, action=login
2023-10-01 14:45:57, user_id=1003, action=logout
2023-10-01 14:48:22, user_id=1005, action=view_page
2023-10-01 14:54:57, user_id=1005, action=logout
2023-10-01 14:57:20, user_id=1003, action=view_page
2023-10-01 15:00:25, user_id=1003, action=logout
2023-10-01 15:03:14, user_id=1004, action=login
2023-10-01 15:03:56, user_id=1002, action=login
2023-10-01 15:07:17, user_id=1002, action=login
2023-10-01 15:10:02, user_id=1005, action=view_page
2023-10-01 15:12:59, user_id=1005, action=login
2023-10-01 15:15:06, user_id=1004, action=view_page
2023-10-01 15:17:51, user_id=1002, action=login
2023-10-01 15:21:55, user_id=1003, action=logout
2023-10-01 15:25:38, user_id=1001, action=login
2023-10-01 15:30:23, user_id=1003, action=logout
2023-10-01 15:33:12, user_id=1003, action=login
2023-10-01 15:35:35, user_id=1002, action=logout
2023-10-01 15:40:19, user_id=1004, action=view_page
2023-10-01 15:44:04, user_id=1001, action=logout
2023-10-01 15:45:07, user_id=1002, action=login
2023-10-01 15:46:09, user_id=1005, action=view_page
2023-10-01 15:47:38, user_id=1002, action=view_page
2023-10-01 15:49:31, user_id=1001, action=login
2023-10-01 15:52:19, user_id=1002, action=login
2023-10-01 15:54:05, user_id=1004, action=logout
2023-10-01 15:57:45, user_id=1005, action=login
2023-10-01 16:01:26, user_id=1002, action=logout
2023-10-01 16:04:35, user_id=1002, action=login
2023-10-01 16:05:18, user_id=1003, action=logout
2023-10-01 16:06:15, user_id=1005, action=logout
2023-10-01 16:10:11, user_id=1005, action=login
2023-10-01 16:11:38, user_id=1003, action=view_page
2023-10-01 16:18:50, user_id=1001, action=view_page
2023-10-01 16:22:56, user_id=1005, action=logout
2023-10-01 16:24:07, user_id=1003, action=logout
2023-10-01 16:28:58, user_id=1005, action=login
2023-10-01 16:32:29, user_id=1002, action=logout
2023-10-01 16:34:00, user_id=1003, action=login
2023-10-01 16:36:01, user_id=1001, action=logout
2023-10-01 16:41:01, user_id=1005, action=logout
2023-10-01 16:44:27, user_id=1001, action=login
2023-10-01 16:45:04, user_id=1003, action=logout
2023-10-01 16:48:39, user_id=1005, action=login
2023-10-01 16:49:12, user_id=1004, action=login
2023-10-01 16:50:26, user_id=1001, action=logout
2023-10-01 16:53:15, user_id=1004, action=view_page
2023-10-01 16:55:48, user_id=1005, action=login
2023-10-01 16:56:18, user_id=1002, action=view_page
2023-10-01 17:00:18, user_id=1002, action=login
2023-10-01 17:05:18, user_id=1003, action=logout
2023-10-01 17:07:25, user_id=1005, action=view_page
2023-10-01 17:08:29, user_id=1002, action=view_page
2023-10-01 17:12:14, user_id=1003, action=login
2023-10-01 17:16:02, user_id=1004, action=logout
2023-10-01 17:19:01, user_id=1003, action=login
2023-10-01 17:20:27, user_id=1004, action=login
2023-10-01 17:21:02, user_id=1004, action=logout
2023-10-01 17:24:17, user_id=1004, action=login
2023-10-01 17:28:59, user_id=1003, action=view_page
2023-10-01 17:32:18, user_id=1002, action=view_page
2023-10-01 17:34:34, user_id=1002, action=view_page
2023-10-01 17:36:27, user_id=1005, action=logout
2023-10-01 17:41:16, user_id=1005, action=login
2023-10-01 17:43:36, user_id=1003, action=view_page
2023-10-01 17:45:40, user_id=1001, action=login
2023-10-01 17:46:14, user_id=1002, action=view_page
2023-10-01 17:50:43, user_id=1005, action=view_page
2023-10-01 17:55:13, user_id=1003, action=logout
2023-10-01 17:57:09, user_id=1003, action=view_page
2023-10-01 17:57:39, user_id=1002, action=logout
2023-10-01 17:59:38, user_id=1001, action=view_page
2023-10-01 18:01:34, user_id=1004, action=logout
2023-10-01 18:02:00, user_id=1003, action=login
2023-10-01 18:06:16, user_id=1002, action=login
2023-10-01 18:09:53, user_id=1003, action=login
2023-10-01 18:13:20, user_id=1005, action=logout
2023-10-01 18:17:01, user_id=1004, action=login
2023-10-01 18:20:33, user_id=1002, action=logout
2023-10-01 18:29:24, user_id=1001, action=view_page
2023-10-01 18:34:14, user_id=1005, action=logout
2023-10-01 18:38:13, user_id=1004, action=view_page
2023-10-01 18:38:48, user_id=1001, action=view_page
2023-10-01 18:39:50, user_id=1003, action=view_page
2023-10-01 18:43:39, user_id=1005, action=view_page
2023-10-01 18:44:58, user_id=1001, action=view_page
